STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,EDUCATION_LEV,Education level,EXP_SOURCE,Financing source,EXP_DESTINATION,Destination of expenditure,EXPENDITURE_TYPE,Type of expenditure,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,Q_SHEET,Questionnaire sheet,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period,Q_SHEET_ROW_ID,Questionnaire row ID
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.0),"Full dataset - Indicators, source, destination and nature of expenditure on education",I,IND,India,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,XDC,National currency,SOURCE,FIN1-SOURCE - Source of expenditure on education,2015,,5101139.8,,A,Normal value,6,Millions,0,Zero,,,G5,"G5: Government sources, Expenditure of all levels consolidated, Direct expenditure for educational institutions, Total: Direct expenditure for all educational institutions"
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.0),"Full dataset - Indicators, source, destination and nature of expenditure on education",I,IND,India,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,XDC,National currency,SOURCE,FIN1-SOURCE - Source of expenditure on education,2021,,,,O,Missing value,6,Millions,0,Zero,,,G5,"G5: Government sources, Expenditure of all levels consolidated, Direct expenditure for educational institutions, Total: Direct expenditure for all educational institutions"
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.0),"Full dataset - Indicators, source, destination and nature of expenditure on education",I,G20,G20,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,XDC,National currency,SOURCE,FIN1-SOURCE - Source of expenditure on education,2016,,,,O,Missing value,6,Millions,0,Zero,,,G5,"G5: Government sources, Expenditure of all levels consolidated, Direct expenditure for educational institutions, Total: Direct expenditure for all educational institutions"
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.0),"Full dataset - Indicators, source, destination and nature of expenditure on education",I,G20,G20,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,XDC,National currency,SOURCE,FIN1-SOURCE - Source of expenditure on education,2015,,5290200.159,,A,Normal value,6,Millions,0,Zero,,,G5,"G5: Government sources, Expenditure of all levels consolidated, Direct expenditure for educational institutions, Total: Direct expenditure for all educational institutions"
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.0),"Full dataset - Indicators, source, destination and nature of expenditure on education",I,G20,G20,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,XDC,National currency,SOURCE,FIN1-SOURCE - Source of expenditure on education,2022,,,,O,Missing value,6,Millions,0,Zero,,,G5,"G5: Government sources, Expenditure of all levels consolidated, Direct expenditure for educational institutions, Total: Direct expenditure for all educational institutions"
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.0),"Full dataset - Indicators, source, destination and nature of expenditure on education",I,NZL,New Zealand,EXP,Expenditure on education,ISCED11_5T8,Tertiary education,S13,General government,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,XDC,National currency,SOURCE,FIN1-SOURCE - Source of expenditure on education,2018,,2668.49354361847,,A,Normal value,6,Millions,0,Zero,,,G5,"G5: Government sources, Expenditure of all levels consolidated, Direct expenditure for educational institutions, Total: Direct expenditure for all educational institutions"
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.0),"Full dataset - Indicators, source, destination and nature of expenditure on education",I,ISL,Iceland,EXP,Expenditure on education,ISCED11_1T4,Primary to post-secondary non-tertiary education,S13,General government,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,XDC,National currency,SOURCE,FIN1-SOURCE - Source of expenditure on education,2015,,97678.202,,A,Normal value,6,Millions,0,Zero,,,G5,"G5: Government sources, Expenditure of all levels consolidated, Direct expenditure for educational institutions, Total: Direct expenditure for all educational institutions"
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.0),"Full dataset - Indicators, source, destination and nature of expenditure on education",I,OECD,OECD,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,XDC,National currency,SOURCE,FIN1-SOURCE - Source of expenditure on education,2017,,2605751.095,,A,Normal value,6,Millions,0,Zero,,,G5,"G5: Government sources, Expenditure of all levels consolidated, Direct expenditure for educational institutions, Total: Direct expenditure for all educational institutions"
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.0),"Full dataset - Indicators, source, destination and nature of expenditure on education",I,OECD,OECD,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,XDC,National currency,SOURCE,FIN1-SOURCE - Source of expenditure on education,2016,,2518776.506,,A,Normal value,6,Millions,0,Zero,,,G5,"G5: Government sources, Expenditure of all levels consolidated, Direct expenditure for educational institutions, Total: Direct expenditure for all educational institutions"
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_FIN_INDIC_SOURCE_NATURE(3.0),"Full dataset - Indicators, source, destination and nature of expenditure on education",I,OECD,OECD,EXP,Expenditure on education,ISCED11_1T8,Primary to tertiary education,S13,General government,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,XDC,National currency,SOURCE,FIN1-SOURCE - Source of expenditure on education,2022,,,,O,Missing value,6,Millions,0,Zero,,,G5,"G5: Government sources, Expenditure of all levels consolidated, Direct expenditure for educational institutions, Total: Direct expenditure for all educational institutions"
