数据库：年度数据
时间：最近20年
指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
科技活动人员(万人),,,,,,,,,,,,,,,,,,,,
科学家和工程师人员(万人),,,,,,,,,,,,,,,,,,,,
研究与试验发展人员全时当量(万人年),724.10,635.40,571.60,523.45,480.08,438.14,403.36,387.81,375.88,371.06,353.30,324.70,288.30,255.40,229.13,196.54,173.62,150.25,136.48,115.26
研究与试验发展人员全时当量中科学家和工程师(万人年),,,,,,,,,,,,,,,,,,,,
研究与试验发展人员全时当量中研究人员(万人年),,,,,,,,,,,,,131.81,121.08,115.23,,,,,
研究与试验发展基础研究人员全时当量(万人年),57.50,50.90,47.20,42.68,39.20,30.50,29.01,27.47,25.32,23.54,22.32,21.22,19.32,17.37,16.46,15.40,13.81,13.13,11.54,11.07
研究与试验发展应用研究人员全时当量(万人年),77.70,74.10,69.10,64.31,61.54,53.88,48.96,43.89,43.04,40.70,39.56,38.38,35.28,33.56,31.53,28.94,28.60,29.97,29.71,27.86
研究与试验发展试验发展人员全时当量(万人年),588.90,510.30,455.30,416.46,379.37,353.77,325.39,316.44,307.53,306.82,291.40,265.09,233.73,204.46,181.14,152.20,131.21,107.14,95.23,76.33
研究与试验发展经费支出(亿元),33357.10,30782.90,27956.31,24393.11,22143.60,19677.93,17606.13,15676.75,14169.88,13015.63,11846.60,10298.41,8687.00,7063.00,5802.11,4616.02,3710.24,3003.10,2449.97,1966.33
研究与试验发展基础研究经费支出(亿元),2259.10,2023.50,1817.00,1467.00,1335.60,1090.37,975.49,822.89,716.12,613.54,554.95,498.81,411.81,324.49,270.29,220.82,174.52,155.76,131.21,117.18
研究与试验发展应用研究经费支出(亿元),3661.50,3482.50,3145.40,2757.24,2498.50,2190.87,1849.21,1610.49,1528.64,1398.53,1269.12,1161.97,1028.40,893.79,730.79,575.16,492.94,488.97,433.53,400.49
研究与试验发展试验发展经费支出(亿元),27436.50,25276.90,22995.90,20168.88,18309.50,16396.69,14781.43,13243.36,11925.13,11003.56,10022.50,8637.63,7246.80,5844.30,4801.03,3820.04,3042.78,2358.37,1885.24,1448.67
研究与试验发展政府资金经费支出(亿元),5693.40,5470.90,5299.70,4825.56,4537.30,3978.64,3487.45,3140.81,3013.20,2636.08,2500.58,2221.39,1882.97,1696.30,1358.27,1088.89,913.50,742.10,645.40,523.60
研究与试验发展企业资金经费支出(亿元),26443.70,24323.90,21808.80,18895.03,16887.15,15079.30,13464.94,11923.54,10588.58,9816.51,8837.70,7625.02,6420.64,5063.14,4162.72,3311.52,2611.00,2073.70,1642.50,1291.30
科技经费筹集额(亿元),,,,,,,,,,,,,,,,9123.81,7695.15,6196.71,5250.83,4328.33
来源于政府资金的科技经费筹集额(亿元),,,,,,,,,,,,,,,,1902.03,1703.55,1367.85,1213.05,985.52
来源于企业资金的科技经费筹集额(亿元),,,,,,,,,,,,,,,,6370.49,5189.48,4106.95,3440.29,2771.21
来源于金融机构贷款的科技经费筹集额(亿元),,,,,,,,,,,,,,,,405.20,384.31,374.27,276.84,265.00
科技经费内部支出(亿元),,,,,,,,,,,,,,,,8510.56,7098.87,5757.27,4836.22,4004.43
科技经费内部支出中劳务费(亿元),,,,,,,,,,,,,,,,1837.39,1506.91,1210.55,1032.50,968.82
科技经费内部支出中固定资产构建费(亿元),,,,,,,,,,,,,,,,2626.54,2186.62,1777.50,1427.94,1192.03
发表科技论文(万篇),217.00,215.00,203.00,195.17,195.00,184.36,170.09,165.00,164.00,157.00,154.46,152.00,150.00,141.60,136.10,119.32,114.26,106.03,94.34,
出版科技著作(种),49978,46968,50580,49634,52067,53629,54204,53284,52207,47470,45730,46751,45472,45563,49080,45296,43063,42918,40120,
科技成果登记数(项),93406,84324,78655,76521,68562,65720,59792,58779,55284,53140,52477,51723,44208,42108,38688,35971,34170,33644,32359,31720
国家技术发明奖(项),62,,,61,65,67,66,66,66,70,71,77,55,46,55,55,51,56,40,28
国家科学技术进步奖(项),139,,,157,185,173,170,171,187,202,188,212,283,273,282,254,255,241,236,244
专利申请数(项),5561990,5364639,5243592,5194154,4380468,4323112,3697845,3464824,2798500,2361243,2377061,2050649,1633347,1222286,976686,828328,693917,573178,476264,353807
