数据库：年度数据
时间：最近20年
指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
高技术产业研究与试验发展机构数(大中型工业企业口径)(个),25821,25084,23041,20185,6331,6399,7018,6456,11265,4763,4583,4566,3254,3184,2845,2534,,,1619,
高技术产业研究与试验发展人员全时当量(大中型工业企业口径)(万人年),139.80,125.40,112.00,99.00,63.90,66.10,59.03,58.02,72.70,57.30,55.90,52.60,42.67,39.90,32.00,28.51,24.82,18.90,17.30,12.08
高技术产业研究与试验发展经费(大中型工业企业口径)(亿元),6960.20,6507.70,5684.60,4649.10,3077.80,2912.53,2644.65,2437.61,2626.70,1922.20,1734.40,1491.49,1237.81,967.80,774.05,655.20,545.32,456.44,362.50,292.13
高技术产业新产品开发经费(大中型工业企业口径)(亿元),9022.80,8590.60,7510.00,6152.40,4389.30,3768.45,3421.30,3000.36,3030.60,2350.60,2069.50,1827.48,1528.03,1006.90,925.07,798.40,652.03,509.95,415.70,258.82
高技术产业专利申请数(大中型工业企业口径)(件),444950,434039,397524,348522,199660,179600,158354,131680,158463,120077,102532,97200,77725,59683,51513,39656,34446,24301,16823,11026
高技术产业有效发明专利数(大中型工业企业口径)(件),892210,809824,685428,570905,365523,327965,306431,257234,241404,147927,115884,97878,67428,50166,31830,23915,13386,8141,6658,4535
高技术产业施工项目数(大中型工业企业口径)(个),,,,,,,27891,23715,20028,18403,17691,15681,13204,10723,9780,8534,,,7095,
高技术产业新开工项目数(大中型工业企业口径)(个),,,,,,,19270,17498,14122,12039,11637,10223,8447,7117,6220,4872,,,4460,
高技术产业全部建成或投产项目数(大中型工业企业口径)(个),,,,,,,17770,14949,14100,11914,10528,8968,7735,6011,5412,4290,,,3158,
高技术产业固定资产投资额(大中型工业企业口径)(亿元),,,,,,,26186.55,22786.70,19950.65,17451.70,15557.70,12932.70,9468.46,6944.70,4882.20,4169.23,,,2144.00,
高技术产业新增固定资产(大中型工业企业口径)(亿元),,,,,,,15608.75,13140.30,14307.54,11790.70,9874.30,8377.10,6355.15,4450.40,3160.50,2574.17,,,1464.00,
数据来源：国家统计局
